-12.780670, 8.951920, 0.216842
-11.646771, 7.982287, 0.323407
-3.877665, 0.260613, 0.014285
-3.653954, 0.037380, 0.008091
-3.656722, 0.019463, 0.010802
-3.661125, 0.008152, 0.014029
-3.661614, -0.001160, 0.015976
-3.667735, -0.014226, 0.018418
-3.660312, -0.023447, 0.020743
-3.648876, -0.025453, 0.021271
-3.654847, -0.029933, 0.021378
-3.664941, -0.033155, 0.022616
-3.671426, -0.034794, 0.022534
-3.672520, -0.033782, 0.022859
-3.657164, -0.032588, 0.022493
-3.628382, -0.041121, 0.024453
-3.605899, -0.040066, 0.023887
-3.603007, -0.036238, 0.023232
-3.600817, -0.041415, 0.024354
-3.630592, -0.044140, 0.024470
-3.656848, -0.044929, 0.023929
-3.675277, -0.041656, 0.023348
-3.691775, -0.043704, 0.023938
-3.693612, -0.043232, 0.024469
-3.670858, -0.045221, 0.024719
-3.648143, -0.045942, 0.024905
-3.641779, -0.046661, 0.025558
-3.624435, -0.047671, 0.024748
-3.628659, -0.048212, 0.024981
-3.636135, -0.051148, 0.025445
-3.647140, -0.049214, 0.025461
-3.652847, -0.046093, 0.023767
-3.686268, -0.044680, 0.024843
-3.701583, -0.048314, 0.024863
-3.679548, -0.047806, 0.025574
-3.668097, -0.044562, 0.023948
-3.673291, -0.043425, 0.023812
-3.669180, -0.039935, 0.023878
-3.661365, -0.041953, 0.024395
-3.639562, -0.042890, 0.025030
-3.660432, -0.043366, 0.024035
-3.646481, -0.051275, 0.026299
-3.647282, -0.052333, 0.026694
-3.675421, -0.050734, 0.026145
-3.699535, -0.050733, 0.026927
-3.700575, -0.051132, 0.025790
-3.701059, -0.048233, 0.024950
-3.705572, -0.048840, 0.025879
-3.719605, -0.051045, 0.026172
-3.721808, -0.049235, 0.025414
-3.761804, -0.048211, 0.025383
-3.777339, -0.050098, 0.026095
-3.767898, -0.047604, 0.024872
-3.810442, -0.047953, 0.025108
-3.806686, -0.049578, 0.025594
-3.761261, -0.050290, 0.026093
-3.750207, -0.051198, 0.025852
-3.734627, -0.053922, 0.026363
-3.745956, -0.054328, 0.027312
-3.708569, -0.051669, 0.024857
-3.706176, -0.046909, 0.025749
-3.707050, -0.048421, 0.025156
-3.646424, -0.047521, 0.025516
-3.605908, -0.046469, 0.024466
-3.603289, -0.047710, 0.025678
-3.574056, -0.048408, 0.025850
-3.554225, -0.049197, 0.025949
-3.538311, -0.042957, 0.024918
-3.572021, -0.042633, 0.024943
-3.508092, -0.042122, 0.024791
-3.502075, -0.036314, 0.023189
-3.469107, -0.039132, 0.023310
-3.407992, -0.040550, 0.023422
-3.454715, -0.044017, 0.024947
-3.411375, -0.046580, 0.025277
-3.359899, -0.044107, 0.024985
-3.280747, -0.043885, 0.023751
-3.304854, -0.043735, 0.024227
-3.321896, -0.044200, 0.024639
-3.325386, -0.043928, 0.024794
-3.309285, -0.043138, 0.024509
-3.324656, -0.041145, 0.024432
-3.358838, -0.041081, 0.024070
-3.340314, -0.049348, 0.024219
-3.417599, -0.048070, 0.024708
-3.369320, -0.048168, 0.025217
-3.374612, -0.052956, 0.026664
-3.381270, -0.052937, 0.026573
-3.414392, -0.050648, 0.026129
-3.377762, -0.049312, 0.025796
-3.341435, -0.045935, 0.025487
-3.313469, -0.048186, 0.025717
-3.254439, -0.041911, 0.025304
-3.278225, -0.047415, 0.025212
-3.357087, -0.046489, 0.024989
-3.397211, -0.042086, 0.023913
-3.400884, -0.043509, 0.025800
-3.355945, -0.041508, 0.023786
-3.336672, -0.049296, 0.025606
